appel|appels
aambei|aambeien
autocoureur|autocoureurs
achtertuin|achtertuinen
bouwmateriaalinventaris|bouwmateriaalinventarissen
bril|brillen
bier|biertjes
briket|briketten
chocoladereep|chocoladerepen
chantagebrief|chantagebrieven
cadeauwinkel|cadeauwinkels
citruspers|citruspersen
duizendklapper|duizendklappers
dubbeltje|dubbeltjes
doorzonwoning|doorzonwoningen
dieplader|diepladers
eenheidsworst|eenheidsworsten
eikel|eikels
fluit|fluiten
grasmaaier|grasmaaiers
hakbijl|hakbijlen
hulpmiddel|hulpmiddelen
internetkabel|internetkabels
inenting|inentingen
jacuzzi|jacuzzi's
jazztrompet|jazztrompetten
keepershandschoen|keepershandschoenen
koksmuts|koksmutsen
kaas|kazen
lantaarnpaal|lantaarnpalen
linzensalade|linzendalades
moorkop|moorkoppen
mitella|mitella's
nectarine|nectarines
neus|neuzen
oceaanreus|oceaanreuzen
prikklok|prikklokken
piemel|piemels
pingpongtafel|pingpongtafels
quinoasalade|quinoasalades
richtingaanwijzer|richtingaanwijzers
ruitenwisser|ruitenwissers
smeerpijp|smeerpijpen
schaatspak|schaatspakken
tuba|tuba's
tent|tenten
trui|truien
uefa-cupbeker|uefa-cupbekers
vakantiefoto|vakantiefoto's
voetbalshirt|voetbalshirts
waterballon|waterballonnen
wagenwiel|wagenwielen
wattenstaafje|wattenstaafjes
xylofoon|xylofoons
xtc-pil|xtc-pillen
yoghurtbacterie|yoghurtbacteriën
yogamat|yogamatten
zonneklep|zonnekleppen
zeilboot|zeilboten
zendmast|zendmasten
